,text,favorited,favoriteCount,replyToSN,created,truncated,id,replyToUID,statusSource,screenName,retweetCount,firm,who
13,Almost 2 weeks later and i just realized that the waitress at Olive Garden didn’t give us chocolate mints with our checks,FALSE,7,NA,2/25/19 19:16,FALSE,1.10011E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",angelachristaa,0,olive+garden,waitress
14,i remember i went to olive garden.. the salad was basically finished in the salad bowl but i wasnt done with it on… https://t.co/l8Ifu49iJG,FALSE,1,NA,2/25/19 16:09,TRUE,1.10007E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",rrrini_,0,olive+garden,waitress
15,Olive Garden waitress tried to BBQ me for wearing crocs rip to her tip🤷‍♂️,FALSE,11,NA,2/25/19 5:35,FALSE,1.09991E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Peteyy_Pan,0,olive+garden,waitress
16,Had the most irritating table of people sitting next to us at Olive Garden the poor waitress made one mistake and a… https://t.co/O6onRqP3mE,FALSE,1,NA,2/25/19 4:47,TRUE,1.09989E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",priyaajohal,0,olive+garden,waitress
17,Seth and my’s waitress at Olive Garden told us that she loved seeing us play the table game thing together bc most people play alone .. 😭😂❤️,FALSE,2,NA,2/25/19 1:59,FALSE,1.09985E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",haleighhh98,0,olive+garden,waitress
18,When the waitress at Olive Garden asks if I want more breadsticks https://t.co/J19UN48QKF,FALSE,81,NA,2/24/19 3:59,FALSE,1.09952E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",porkfriedbrian,21,olive+garden,waitress
19,Hit up the new Olive Garden in Twin Falls tonight. The wait wasn’t too bad (with a party of 4). Our waitress wasn’t… https://t.co/Ua2DBZq9We,FALSE,4,NA,2/24/19 3:37,TRUE,1.09951E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Chase_Glorfield,0,olive+garden,waitress
20,olive garden waitress soo bad she told another waiter to watch us 😅,FALSE,0,NA,2/24/19 0:54,FALSE,1.09947E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",GiovannyRuiz10,1,olive+garden,waitress
21,I lied and said no to the Olive Garden waitress when she asked if Hannah and I had plans afterwards because she alr… https://t.co/czCJgsuvvE,FALSE,26,NA,2/24/19 0:19,TRUE,1.09946E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",gabbymonss,0,olive+garden,waitress
22,this waitress at olive garden got me feeling some typa way....too bad i’m with my family ugh,FALSE,0,NA,2/24/19 0:09,FALSE,1.09946E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",emojiolivia,0,olive+garden,waitress
23,I was having a dream that I was at Olive Garden and the waitress (who happened to be my aunt) was literally ABOUT t… https://t.co/81oh3E0eOy,FALSE,2,NA,2/23/19 22:20,TRUE,1.09943E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",hanabock,0,olive+garden,waitress
24,My waitress at Olive Garden took my fucking soup away when I wasn’t even done😊😊😊😊😊😊😊,FALSE,8,NA,2/23/19 3:49,FALSE,1.09915E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",KamrynLamb_,0,olive+garden,waitress
25,Shoutout to my Olive Garden waitress who hooked me up with extra soup Togo,FALSE,0,NA,2/23/19 1:56,FALSE,1.09913E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",throwhoe,0,olive+garden,waitress
26,My dad just got so insulted because he didn’t get a piece of chocolate with his meal at Olive Garden. Two second la… https://t.co/PtP63u7VNX,FALSE,5,NA,2/22/19 23:37,TRUE,1.09909E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",KylieBrown1739,0,olive+garden,waitress
27,"I DONT think that’s too much to ask for, but the waitress at Olive Garden might 😔",FALSE,1,kittycatmami,2/22/19 21:41,FALSE,1.09906E+18,1656513559,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",kittycatmami,0,olive+garden,waitress
28,there’s a waitress at olive garden who looks like sam and now i’m just,FALSE,2,NA,2/22/19 20:12,FALSE,1.09904E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",starryfarts,0,olive+garden,waitress
29,I hate when the waitress try to outdo me! I’m at Olive Garden &amp; I told this mf I want the shrimp and chicken carbon… https://t.co/Q2XoeXYKeq,FALSE,2,NA,2/22/19 17:41,TRUE,1.099E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",MsAmberWyatt,0,olive+garden,waitress
30,*slams my hands on the table* HORIKOSHI WHAT IS BAKUGOU’S HERO NAME!!! THE PEOPLE MUST KNOW!!!!! GIVE IT TO US!!!!… https://t.co/vxwaSyF6BQ,FALSE,0,NA,2/22/19 6:34,TRUE,1.09883E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",sasukesbitchh,0,olive+garden,waitress
31,@transideology As a kid I thought lasagna was called vagina and whenever we'd go to olive garden my mom would have… https://t.co/z8TQ6H5D2W,FALSE,0,transideology,2/22/19 3:44,TRUE,1.09879E+18,1.01057E+18,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",sicklybabe,0,olive+garden,waitress
32,one time when i was like 6 my dad took me to olive garden and i didn’t like anything on the kids menu so my dad ask… https://t.co/l2x15PVK5b,FALSE,21,NA,2/22/19 3:16,TRUE,1.09878E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",_haybabe,0,olive+garden,waitress
33,our waitress at olive garden brought us our food and said “alright gucci gang...”,FALSE,430,NA,2/22/19 2:05,FALSE,1.09877E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",_Logers,25,olive+garden,waitress
34,I just told an Olive Garden waitress “that one has a goiter! It might need to see an endocrinologist!” Very occasio… https://t.co/ujk7yadkZY,FALSE,1,NA,2/22/19 0:37,TRUE,1.09874E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",icanhazaspergrs,0,olive+garden,waitress
35,"olive garden waitress: “cheese on your salad”
my family and i: “yes”
waitress: “okay tell me when to stop”
us: ....… https://t.co/RirqyQPB8m",FALSE,21,NA,2/22/19 0:03,TRUE,1.09874E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",kyliereece4,1,olive+garden,waitress
36,We went to Olive Garden for unlimited pasta. Kaitley and I ordered the same thing. She took one bite and didn’t lik… https://t.co/sNpCf1xUd6,FALSE,0,NA,2/21/19 23:17,TRUE,1.09872E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Randy__West,0,olive+garden,waitress
37,Oh how I wish I could fuck the hot goth waitress at the Olive garden...,FALSE,0,NA,2/21/19 21:39,FALSE,1.0987E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",theantibright,0,olive+garden,waitress
38,yesterday my pregnant Olive Garden waitress informed me that by 2040 we will be able to sail across the north pole… https://t.co/LFS6gtDx95,FALSE,26,NA,2/21/19 21:36,TRUE,1.0987E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",_combs_,0,olive+garden,waitress
39,Lol the waitress at Olive Garden thought my mama was a man and everyone she said something to her she said sir 😂😂😂😂😂😂,FALSE,0,NA,2/21/19 20:29,FALSE,1.09868E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",BankBoySed,0,olive+garden,waitress
40,"Olive Garden waitress adding cheese to my pasta: ""Just say when.""

Me: *stares blankly at my food*

Waitress: Leave… https://t.co/2Rk4gA8lAb",FALSE,9,NA,2/21/19 13:43,TRUE,1.09858E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",roJgreve,1,olive+garden,waitress
41,I went to Olive Garden and asked for a seizure Salad why the waitress looked at me funny,FALSE,10,NA,2/21/19 6:33,FALSE,1.09847E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",jonttran,1,olive+garden,waitress
42,"My waitress at olive garden gave me a whole cup of those after dinner mint chocolates  , my heart is content 🥰",FALSE,1,NA,2/21/19 3:47,FALSE,1.09843E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",_RatherDashing,0,olive+garden,waitress
43,"to the waitress javen at olive garden, thank you so much for making me smile and being so kind when you knew I’ve h… https://t.co/rTU0LoeRP3",FALSE,18,NA,2/21/19 2:16,TRUE,1.09841E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",coh_7,4,olive+garden,waitress
44,I swear our waitress at Olive Garden is hella fine 😍🤧,FALSE,0,NA,2/20/19 23:04,FALSE,1.09836E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Leeanna136,0,olive+garden,waitress
45,I remember one summer I was talking to a guy &amp; he took me to olive garden. 10 breadsticks in (by me) &amp; after orderi… https://t.co/SB0xNn6k3C,FALSE,5,NA,2/20/19 17:21,TRUE,1.09827E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",KCMimms,0,olive+garden,waitress
46,"Yesterday I was at olive garden. At table next to me was a family with mother, father and two little girls like 5 y… https://t.co/4tpG3IFKWB",FALSE,1,NA,2/20/19 15:05,TRUE,1.09824E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",vanessahrn03,0,olive+garden,waitress
47,Someone get me Olive Garden cs the stupid waitress didn’t give me pasta 😤😭😭 @olivegarden I want a refund,FALSE,0,NA,2/20/19 2:52,FALSE,1.09805E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",tortor_elaina,0,olive+garden,waitress
48,"At olive garden: 

Waitress: Would you like some cheese?

Me: sure

Waitress: ok tell me when to stop

Me: 

Her: G… https://t.co/2EZwrSJQxW",FALSE,18,NA,2/19/19 20:50,TRUE,1.09796E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",colinfaherty,0,olive+garden,waitress
49,I said “truck yeah” to the Olive Garden waitress and she goes “well that was weird” 🤦🏻‍♀️ https://t.co/8alnJvcgM7,FALSE,33,NA,2/19/19 15:26,FALSE,1.09788E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",lgiesige_13,0,olive+garden,waitress
50,Me to the waitress at Olive Garden when she asks if thats enough parmesan on the salad https://t.co/oJTATCaFUz,FALSE,1,NA,2/19/19 5:11,FALSE,1.09773E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Kingtoldme,0,olive+garden,waitress
51,I was mildly offended when our waitress at Olive Garden asked if we wanted our second pasta bowl boxed up.... nah J… https://t.co/Cicd3VPbeU,FALSE,4,NA,2/19/19 4:31,TRUE,1.09772E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",missmadi,1,olive+garden,waitress
52,i asked olive garden if they had strawberry lemonade and they said no but i’ll bring u this berry lemonade drink we… https://t.co/I9vaYK0JdC,FALSE,0,NA,2/19/19 3:29,TRUE,1.0977E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",cloudsfttommo,0,olive+garden,waitress
53,Yall this Olive Garden waitress just called our table the nicest table shes had in 3 years and I'm really crying in the club rn.,FALSE,3,NA,2/19/19 3:26,FALSE,1.0977E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",rickythenurmoh,0,olive+garden,waitress
54,my dad convinced me to give my number to a cute olive garden waitress and now I feel like a creep,FALSE,6,NA,2/19/19 2:15,FALSE,1.09768E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",HughHughfonzo,0,olive+garden,waitress
55,When I was in undergad I worked as a waitress at Olive Garden. The best tips came from working class people. The ni… https://t.co/5OsxzspKLq,FALSE,540,NA,2/18/19 23:41,TRUE,1.09764E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",The_Acumen,97,olive+garden,waitress
56,Trying to get the waitress's attention at Olive Garden after the first round of breadsticks https://t.co/Sptu7QV7Vw,FALSE,178,NA,2/18/19 23:39,FALSE,1.09764E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",MatthewMalgi,16,olive+garden,waitress
57,"Olive Garden Waitress: *Grating Parmesan*

Me: https://t.co/Zlgssrt18T",FALSE,11,NA,2/18/19 22:10,FALSE,1.09762E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",CaleCOTC,22,olive+garden,waitress
58,Why tf did the Olive Garden waitress  laugh when I asked for permission cheese??? Y’all run out or something?,FALSE,28,NA,2/18/19 21:32,FALSE,1.09761E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",MemXO1,0,olive+garden,waitress
59,At Olive Garden and our waitress had to go home because she began crying after she heard the news #GodBlessTheSouth https://t.co/6LeWjzGByk,FALSE,0,NA,2/18/19 20:47,FALSE,1.0976E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",DDberry24,0,olive+garden,waitress
60,"Me: *orders food* 

Olive Garden waitress: would you like a soup or salad? 

Me: just the regular salad please 

Ol… https://t.co/b0JoelBu2B",FALSE,19,NA,2/18/19 17:33,TRUE,1.09755E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",TillmonTyler,4,olive+garden,waitress
61,Went to dinner last night at Olive Garden...our waitress fell with all our food. The manager paid for our entire me… https://t.co/b6vjSV6qLs,FALSE,0,NA,2/18/19 14:24,TRUE,1.0975E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",nealrodriguez24,0,olive+garden,waitress
62,the waitress at olive garden before she takes my order https://t.co/UXMLVO01BH,FALSE,0,NA,2/18/19 7:41,FALSE,1.0974E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",joshuuua,0,olive+garden,waitress
63,"Olive Garden Waitress: “hi did you guys leave a dog in your car? He set off your car alarm”

Lady: *sighs* “yeah, he does that.” 

 😂😂😂",FALSE,13,NA,2/18/19 0:49,FALSE,1.0973E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",kennedymaee,0,olive+garden,waitress
64,"olive garden waitress: be careful this plate is hot
my brain: ok thank you
me: yes please",FALSE,3,NA,2/17/19 22:38,FALSE,1.09726E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",gay_ass_alien,0,olive+garden,waitress
65,The guy dressed like a Tampa Olive Garden waiter really wants those boxes. #CohenTestimony,FALSE,6,NA,2/27/19 18:32,FALSE,1.10083E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",jp_mcdade,0,olive+garden,waiter
66,"Olive Garden Waiter: Sir, you’ve already had 5 baskets of breadsti...

Me: https://t.co/w0ZjII47Mh",FALSE,2,NA,2/27/19 18:25,FALSE,1.10082E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Zach_Stach,0,olive+garden,waiter
67,when I’m in olive garden and the waiter is like what can I get u https://t.co/lloOXZmYEP,FALSE,3,NA,2/27/19 0:04,FALSE,1.10055E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",tiffales,0,olive+garden,waiter
68,Confirmed: Olive Garden for dinner and hoping to get that cute waiter with a thing for milfs. 🙃🙃🙃,FALSE,0,NA,2/26/19 20:52,FALSE,1.1005E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",nellecj,0,olive+garden,waiter
69,shoveling an entire basket of olive garden breadsticks down ur throat before the waiter gets back to fill ur water… https://t.co/xPCtlsabrc,FALSE,1,NA,2/26/19 16:32,TRUE,1.10043E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",itdakris,1,olive+garden,waiter
70,"me: I am weary from all of this bread &amp; circus bullshit, bread &amp; circuses, bread &amp; circuses...

waiter: ma’am this… https://t.co/GtGyrcVh3R",FALSE,3,NA,2/26/19 15:40,TRUE,1.10042E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",debontherocks,0,olive+garden,waiter
71,when ur waiter at olive garden stops sprinkling the cheese https://t.co/w5QNjF8loi,FALSE,43,NA,2/26/19 12:40,FALSE,1.10038E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",WoesteChloe,1,olive+garden,waiter
72,That's so close i've been meaning to for like an olive garden waiter 😍😍😍.,FALSE,0,NA,2/26/19 8:49,FALSE,1.10032E+18,NA,"<a href=""https://twitter.com/dumbebook"" rel=""nofollow"">dumbebook</a>",dumbebook,0,olive+garden,waiter
73,Me when I go to Olive Garden and the waiter/ress asks me how my food is https://t.co/fky8chvJDO,FALSE,3,NA,2/26/19 6:38,FALSE,1.10028E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",PixelNebulas,2,olive+garden,waiter
74,"To our Olive garden waiter Aaron: I would accept religion for you, let me love you",FALSE,9,NA,2/26/19 5:42,FALSE,1.10027E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ayekeptin,0,olive+garden,waiter
75,“You guys really like Breadsticks” 😂😭😂😭 waiter to me and @morgandawn_07 at Olive Garden 😂,FALSE,1,NA,2/26/19 2:44,FALSE,1.10023E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",lexidawnpayne,1,olive+garden,waiter
76,"@darden Okay. Cool. No more having to tell the waiter at Olive Garden to not put in straws for us, and at Longhorn, to not give them out.",FALSE,0,darden,2/26/19 2:29,FALSE,1.10022E+18,372854615,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ComputerMakerJB,0,olive+garden,waiter
77,My waiter at Olive Garden is fine fine 😍😩,FALSE,0,NA,2/26/19 1:24,FALSE,1.10021E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",bnwilliams,0,olive+garden,waiter
78,@eris_69 dressed like an olive garden waiter,FALSE,1,eris_69,2/25/19 23:10,FALSE,1.10017E+18,7.54776E+17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",chimmysbff,0,olive+garden,waiter
79,The waiter at Olive Garden didn’t think I was over 21 😂 I’m at the age where I take that as a compliment now.,FALSE,2,NA,2/25/19 23:02,FALSE,1.10017E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",MorgieMorr,0,olive+garden,waiter
80,Me after the waiter at Olive Garden takes my order https://t.co/B101NApmMz,FALSE,18,NA,2/25/19 22:43,FALSE,1.10016E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",AnnaDesiderio7,2,olive+garden,waiter
81,I still remember when I went to olive garden with my mom and I was telling the waiter how addicting the mints are a… https://t.co/XR1hKGrjzs,FALSE,3,NA,2/25/19 21:10,TRUE,1.10014E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",space_alyien,0,olive+garden,waiter
82,I went to Olive Garden and the amount of anxiety I got when the waiter was putting the cheese on my pasta was unrea… https://t.co/IP3QYcAodv,FALSE,3,NA,2/25/19 21:01,TRUE,1.10014E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Silvurfoxx,0,olive+garden,waiter
83,"“Why does the Easter bunny hide his eggs?
- Because he doesn’t want anyone to know he’s been fucking a chicken.”
😂😂… https://t.co/7YncNJsYMN",FALSE,0,NA,2/25/19 20:05,TRUE,1.10012E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",smariew18,0,olive+garden,waiter
84,@UnitLangley02 i want bruno to be my olive garden waiter 😔,FALSE,1,UnitLangley02,2/25/19 19:50,FALSE,1.10012E+18,1.03623E+18,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",bahenayam,0,olive+garden,waiter
85,Bruh my waiter at Olive Garden was sooooo 😍😍😍,FALSE,1,NA,2/25/19 19:43,FALSE,1.10012E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",mariacc18,0,olive+garden,waiter
86,Shoutout to my hot waiter at Olive Garden last night who asked me on a date and then stood me up. No amount of brea… https://t.co/2y41Fx5gd4,FALSE,49,NA,2/25/19 19:33,TRUE,1.10012E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",DugSchneider,0,olive+garden,waiter
87,Me every time I go to Olive Garden and the waiter comes with my food. https://t.co/f7KBNMb4dh,FALSE,1,NA,2/25/19 19:18,FALSE,1.10011E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",YURITZA_ARROYO,0,olive+garden,waiter
88,This dude is a waiter at olive garden..... No fucking way he's lead on any con.... Nugga bring me my fucking breadsticks,FALSE,0,NA,2/25/19 6:23,FALSE,1.09992E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",JJstoner,0,olive+garden,waiter
89,My waiter at Olive Garden was so cute ugh :/,FALSE,0,NA,2/25/19 4:03,FALSE,1.09988E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",krystalalexiss,0,olive+garden,waiter
90,they gave an oscar to an olive garden waiter,FALSE,6,NA,2/25/19 3:50,FALSE,1.09988E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",jimsashes,0,olive+garden,waiter
91,The waiter at Olive Garden just said “wow I’ve never seen someone order so many Long Island Iced Teas” like bitch w… https://t.co/nU1J96jsJc,FALSE,4,NA,2/25/19 2:54,TRUE,1.09987E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",AllyyElizabeth,0,olive+garden,waiter
92,@JMartinezBKN @RuFan130 @MNCarolina5 @BirdsNetsDevils Kenny does look like an Olive Garden waiter,FALSE,1,JMartinezBKN,2/25/19 2:51,FALSE,1.09986E+18,457924590,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ItBegins2012,0,olive+garden,waiter
93,@ItBegins2012 @RuFan130 @MNCarolina5 @BirdsNetsDevils You mean the 23 wins? And that Luka is trash? And that Bojan… https://t.co/CYuHtDhiUt,FALSE,0,ItBegins2012,2/25/19 2:48,TRUE,1.09986E+18,144239205,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",JMartinezBKN,0,olive+garden,waiter
